"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Food & drink","IFDSTM","Low-temperature steam/heat from CHP for the food and drink sector","IFDCHPGT01","Gas turbine CHP based on natural gas","Natural gas","PJ"
"Food & drink","IFDSTM","Low-temperature steam/heat from CHP for the food and drink sector","IFDSTMHP01","Steam generation by heat pump","Heat pump","PJ"
"Food & drink","IFDMOT","Motor drive for the food and drink sector","IFDMOTELC01","Electric motor technology","Electricity","PJ"
"Food & drink","IFDOTH","Other energy services for the food and drink sector","IFDOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Food & drink","IFDOTH","Other energy services for the food and drink sector","IFDOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Food & drink","IFDOTH","Other energy services for the food and drink sector","IFDOTHHCO01","Generic process technology for other energy services based on coal","Coal","PJ"
"Food & drink","IFDOTH","Other energy services for the food and drink sector","IFDOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Food & drink","IFDOTH","Other energy services for the food and drink sector","IFDOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Food & drink","IFDOTH","Other energy services for the food and drink sector","IFDOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Food & drink","IFDOTH","Other energy services for the food and drink sector","IFDOTHSTM01","Generic process technology for other energy services based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Food & drink","IFDREF","Refrigeration for the food and drink sector","IFDREFEHFC01","Refrigeration technology","Electricity","PJ"
"Glass","IGL","Finished glass (demand commodity, in Mt)","IGL01","Demand technology (not an actual technology only transforms energy services) for the glass sector","Standard_FF","Mt"
"Glass","IGLHTH","High temperature heat for the other industries","IGLHTHELC","High-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Glass","IGLHTH","High temperature heat for the other industries","IGLHTHNGA","High-temperature heat technology based on natural gas / biomethane (boiler)","Standard_FF","PJ"
"Glass","IGLMRG","Melted refined glass","IGLKLN","Regenerative end-port furnace with electric boosting","Electricity","Mt"
"Glass","IGLMRG","Melted refined glass","IGLKLNELC","Electric cold-top furnace","Electricity","Mt"
"Glass","IGLMRG","Melted refined glass","IGLKLNHYD","Hydrogen furnace with electric boosting","Hydrogen","Mt"
"Glass","IGLOTH","Other energy services for the other industries","IGLOTH","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Hydrogen","HYGEN","Generated hydrogen","PHYGBPELQ01","Biomass gasification, with CCS","CCS","PJ"
"Hydrogen","HYGEN","Generated hydrogen","PHYGCOAQ01","Coal gasification, with CCS","CCS","PJ"
"Hydrogen","HYGEN","Generated hydrogen","PHYGEYALSL01","Electrolysis - alkaline","Electricity","PJ"
"Hydrogen","HYGEN","Generated hydrogen","PHYGEYSL01","Proton exchange membrane","Electricity","PJ"
"Hydrogen","HYGEN","Generated hydrogen","PHYGEYSOEL01","Electrolysis - Solid Oxide Electrolyser","Electricity","PJ"
"Hydrogen","HYGEN","Generated hydrogen","PHYGNGALQ01","Natural gas steam reforming, with CCS","CCS","PJ"
"Hydrogen","HYGEN","Generated hydrogen","PHYGNGALQ02","Natural gas steam reforming ATR, with CCS","CCS","PJ"
"Iron & steel","IIS","Finished steel (demand commodity, in Mt)","IISFINPRO01","Downstream process (energy use to produce finished steel from hot rolled steel)","Standard_FF","Mt"
"Iron & steel","IISHRS","Hot rolled steel (intermediate product, in Mt)","IISCASHRHYM01","Hydrogen Caster & hot rolling mill, standard","Hydrogen","PJ"
"Iron & steel","IISHRS","Hot rolled steel (intermediate product, in Mt)","IISCASHRM01","Caster & hot rolling mill, standard","Natural gas","Mt"
